video_path,rel_path,raw_label,file_name,ext,normalized_label,canonical_label
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\abseiling\-3B32lodo2M_000059_000069.mp4,abseiling/-3B32lodo2M_000059_000069.mp4,abseiling,-3B32lodo2M_000059_000069.mp4,.mp4,abseiling,abseiling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\abseiling\_4YTwq0-73Y_000044_000054.mp4,abseiling/_4YTwq0-73Y_000044_000054.mp4,abseiling,_4YTwq0-73Y_000044_000054.mp4,.mp4,abseiling,abseiling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\abseiling\_EDt9CNqqxk_000260_000270.mp4,abseiling/_EDt9CNqqxk_000260_000270.mp4,abseiling,_EDt9CNqqxk_000260_000270.mp4,.mp4,abseiling,abseiling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\air_drumming\_9SlRyQ2Aio_000192_000202.mp4,air_drumming/_9SlRyQ2Aio_000192_000202.mp4,air_drumming,_9SlRyQ2Aio_000192_000202.mp4,.mp4,air drumming,air drumming
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\air_drumming\_axE99QAhe8_000026_000036.mp4,air_drumming/_axE99QAhe8_000026_000036.mp4,air_drumming,_axE99QAhe8_000026_000036.mp4,.mp4,air drumming,air drumming
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\air_drumming\_dbcJuKJQNs_000040_000050.mp4,air_drumming/_dbcJuKJQNs_000040_000050.mp4,air_drumming,_dbcJuKJQNs_000040_000050.mp4,.mp4,air drumming,air drumming
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\answering_questions\_5PV4fkZisA_000139_000149.mp4,answering_questions/_5PV4fkZisA_000139_000149.mp4,answering_questions,_5PV4fkZisA_000139_000149.mp4,.mp4,answering questions,answering questions
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\answering_questions\_5VCfqc1Q0Q_000040_000050.mp4,answering_questions/_5VCfqc1Q0Q_000040_000050.mp4,answering_questions,_5VCfqc1Q0Q_000040_000050.mp4,.mp4,answering questions,answering questions
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\answering_questions\_5W9Fxl_dFE_000186_000196.mp4,answering_questions/_5W9Fxl_dFE_000186_000196.mp4,answering_questions,_5W9Fxl_dFE_000186_000196.mp4,.mp4,answering questions,answering questions
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applauding\0nd-Gc3HkmU_000019_000029.mp4,applauding/0nd-Gc3HkmU_000019_000029.mp4,applauding,0nd-Gc3HkmU_000019_000029.mp4,.mp4,applauding,applauding
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applauding\0Tq8uFakTbk_000000_000010.mp4,applauding/0Tq8uFakTbk_000000_000010.mp4,applauding,0Tq8uFakTbk_000000_000010.mp4,.mp4,applauding,applauding
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applauding\_LHpfh0rXjk_000012_000022.mp4,applauding/_LHpfh0rXjk_000012_000022.mp4,applauding,_LHpfh0rXjk_000012_000022.mp4,.mp4,applauding,applauding
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applying_cream\-PBcrI7pXUM_000024_000034.mp4,applying_cream/-PBcrI7pXUM_000024_000034.mp4,applying_cream,-PBcrI7pXUM_000024_000034.mp4,.mp4,applying cream,applying cream
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applying_cream\_-mM9e_yGog_000067_000077.mp4,applying_cream/_-mM9e_yGog_000067_000077.mp4,applying_cream,_-mM9e_yGog_000067_000077.mp4,.mp4,applying cream,applying cream
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\applying_cream\_SUw41KlPBE_000102_000112.mp4,applying_cream/_SUw41KlPBE_000102_000112.mp4,applying_cream,_SUw41KlPBE_000102_000112.mp4,.mp4,applying cream,applying cream
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\archery\_7cIhg_uLmQ_000107_000117.mp4,archery/_7cIhg_uLmQ_000107_000117.mp4,archery,_7cIhg_uLmQ_000107_000117.mp4,.mp4,archery,archery
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\archery\_Buw5qNQZto_000030_000040.mp4,archery/_Buw5qNQZto_000030_000040.mp4,archery,_Buw5qNQZto_000030_000040.mp4,.mp4,archery,archery
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\archery\_ceSzRc_kEQ_000009_000019.mp4,archery/_ceSzRc_kEQ_000009_000019.mp4,archery,_ceSzRc_kEQ_000009_000019.mp4,.mp4,archery,archery
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\arm_wrestling\_6xcGAdO8Jk_000011_000021.mp4,arm_wrestling/_6xcGAdO8Jk_000011_000021.mp4,arm_wrestling,_6xcGAdO8Jk_000011_000021.mp4,.mp4,arm wrestling,arm wrestling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\arm_wrestling\_hwI3fEVXr8_000000_000010.mp4,arm_wrestling/_hwI3fEVXr8_000000_000010.mp4,arm_wrestling,_hwI3fEVXr8_000000_000010.mp4,.mp4,arm wrestling,arm wrestling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\arm_wrestling\_Lg6oKsuP0o_000017_000027.mp4,arm_wrestling/_Lg6oKsuP0o_000017_000027.mp4,arm_wrestling,_Lg6oKsuP0o_000017_000027.mp4,.mp4,arm wrestling,arm wrestling
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\arranging_flowers\_-eEznKEJiM_000244_000254.mp4,arranging_flowers/_-eEznKEJiM_000244_000254.mp4,arranging_flowers,_-eEznKEJiM_000244_000254.mp4,.mp4,arranging flowers,arranging flowers
C:\Users\zx\Desktop\scenario2_pose_lab\scenario2_pose_lab\tiny-Kinetics-400\arranging_flowers\_3gsKrwe8Sg_000153_000163.mp4,arranging_flowers/_3gsKrwe8Sg_000153_000163.mp4,arranging_flowers,_3gsKrwe8Sg_000153_000163.mp4,.mp4,arranging flowers,arranging flowers
